Dev,Name,Address,City,GP_COMPLY,Z_COMPLY,TOD,PLAN_AREA,DU,MKT,AFH,SB35,SB330,AB1763,AB2162,AB2345,AB2372,AB3194,Submitted,Approved
RCD,Madrone Terrace,60060 E 14th Street,Ashland,Y,Y,Y,N,79,1,79,Y,,,,,,,8/12/19,11/13/19
,Fourth Street,1900 Fourth Street,Berkeley ,Y,Y,Y,Y,260,130,130,,,,,,,,3/8/18,4/22/21
RCD,Maudelle Miller Shirek,2001 Ashby,Berkeley ,Y,Y,Y,Y,87,1,86,Y,,,,,,,10/4/19,12/20/19
,Blake,2015 Blake,Berkeley ,Y,Y,Y,Y,155,155,0,,Y,,,,,,7/10/20,3/18/21
,Telegraph,3031 Telegraph,Berkeley ,Y,N,N,N,110,110,0,,Y,,,,,,8/5/20,11/20/20
,University,2000 University,Berkeley ,Y,Y,Y,Y,82,82,0,,Y,,,,,,12/10/20,5/6/21
,San Pablo,2601 San Pablo,Berkeley ,Y,Y,Y,Y,194,194,0,,Y,,,,,,5/3/21,
Charities,Veranda,19160 Stevens Creek Blvd,Cupertino,Y,N,N,N,19,0,19,,,,,,,,12/2/16,6/21/17
SandHill,Vallco,,Cupertino,N,N,N,N,2402,1201,1201,Y,Y,,,Y,,,3/27/18,9/21/18
RCD,Nellie Hannon Gateway,3600 San Pabloe Avenue,Emeryville,Y,Y,Y,N,90,1,89,Y,,Y,,,,,7/21/20,10/20/20
Abode,City Center Apartments ,38631Fremont Blvd,Fremont ,Y,Y,Y,N,60,1,59,,,,,,,,7/13/16,6/7/19
Abode,Fremont Family Apartments ,34320 Fremont Blvd,Fremont ,Y,N,Y,Y,54,1,53,Y,,,,,,,6/1/19,1/1/20
Abode,Irvington  ,4038 Irvington Ave ,Fremont ,Y,N,Y,N,90,1,89,Y,,,,,,,8/1/19,10/15/19
Abode,Depot Community Apartments ,2595 Depot Road,Hayward ,Y,N,Y,N,125,1,124,Y,,Y,,,,,1/7/20,1/14/21
O'brien,Terraces of Lafayette,Deer Hill and Pleasant Hill Roads,Lafayette,N,N,Y,N,315,315,0,,,,,,,,3/15/11,2/26/20
O'brien,Terraces of Lafayette,Deer Hill and Pleasant Hill Roads,Lafayette,N,N,Y,N,315,315,0,,Y,,,,,Y,4/20/20,8/24/20
,40 Main Street,40 Main Street,Los Altos,Y,N,N,Y,15,13,2,,,,,,,,5/25/15,4/24/20
AMG,Marin City Apt,800 Drake Ave,Marin City,N,N,N,Y,74,1,73,Y,,Y,,Y,,,9/6/20,12/1/20
MidPen,Devries Place,163 N. Main St,Milpitas,Y,Y,Y,Y,103,0,103,,,,,,,,6/9/06,4/17/07
